road,point,hour,traffic_percent,currentSpeed,freeFlowSpeed,num_Vehicles
Elizabeth Drive Eastbound,"-33.87107,150.73361",09:30,0.0,79,79,786.0
Elizabeth Drive Eastbound,"-33.87338,150.75003",09:30,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.87418,150.75697",09:30,0.0,73,73,786.0
Elizabeth Drive Eastbound,"-33.87592,150.76988",09:30,0.0,75,75,786.0
Elizabeth Drive Eastbound,"-33.87935,150.78513",09:30,0.0,67,67,786.0
Elizabeth Drive Eastbound,"-33.8807,150.79352",09:30,0.0,62,62,786.0
Elizabeth Drive Eastbound,"-33.88072,150.80624",09:30,0.0,65,65,786.0
Elizabeth Drive Eastbound,"-33.88042,150.8097",09:30,0.0,66,66,786.0
Elizabeth Drive Eastbound,"-33.88073,150.81972",09:30,0.0,71,71,786.0
Elizabeth Drive Eastbound,"-33.87603,150.82784",09:30,0.0,66,66,786.0
Elizabeth Drive Eastbound,"-33.87476,150.83832",09:30,0.0,71,71,786.0
Elizabeth Drive Eastbound,"-33.877,150.84343",09:30,0.0,66,66,786.0
Elizabeth Drive Westbound,"-33.87716,150.84332",07:00,0.0,57,57,1311.0
Elizabeth Drive Westbound,"-33.87476,150.83832",07:00,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.87603,150.82784",07:00,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88073,150.81972",07:00,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.88042,150.8097",07:00,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88076,150.80432",07:00,0.0,67,67,1311.0
Elizabeth Drive Westbound,"-33.88049,150.79247",07:00,0.0,66,66,1311.0
Elizabeth Drive Westbound,"-33.87824,150.78295",07:00,0.0,66,66,1311.0
Elizabeth Drive Westbound,"-33.87576,150.76878",07:00,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87385,150.75439",07:00,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87348,150.74997",07:00,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87092,150.73242",07:00,0.0,81,81,1311.0
Elizabeth Drive Westbound,"-33.86831,150.71664",07:00,0.0,70,70,1311.0
Elizabeth Drive Westbound,"-33.86463,150.70826",07:00,0.0,57,57,1311.0
Elizabeth Drive Westbound,"-33.87716,150.84332",07:15,0.0,57,57,1311.0
Elizabeth Drive Westbound,"-33.87476,150.83832",07:15,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.87603,150.82784",07:15,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88073,150.81972",07:15,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.88042,150.8097",07:15,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88076,150.80432",07:15,0.0,67,67,1311.0
Elizabeth Drive Westbound,"-33.88049,150.79247",07:15,0.0,66,66,1311.0
Elizabeth Drive Westbound,"-33.87824,150.78295",07:15,0.0,66,66,1311.0
Elizabeth Drive Westbound,"-33.87576,150.76878",07:15,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87385,150.75439",07:15,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87348,150.74997",07:15,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87092,150.73242",07:15,0.0,81,81,1311.0
Elizabeth Drive Westbound,"-33.86831,150.71664",07:15,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.86463,150.70826",07:15,0.0,57,57,1311.0
Elizabeth Drive Westbound,"-33.87716,150.84332",07:30,14.035087719298245,49,57,1311.0
Elizabeth Drive Westbound,"-33.87476,150.83832",07:30,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.87603,150.82784",07:30,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88073,150.81972",07:30,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.88042,150.8097",07:30,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88076,150.80432",07:30,0.0,67,67,1311.0
Elizabeth Drive Westbound,"-33.88049,150.79247",07:30,16.666666666666664,55,66,1311.0
Elizabeth Drive Westbound,"-33.87824,150.78295",07:30,16.666666666666664,55,66,1311.0
Elizabeth Drive Westbound,"-33.87576,150.76878",07:30,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87385,150.75439",07:30,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87348,150.74997",07:30,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87092,150.73242",07:30,0.0,81,81,1311.0
Elizabeth Drive Westbound,"-33.86831,150.71664",07:30,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.86463,150.70826",07:30,0.0,57,57,1311.0
Elizabeth Drive Westbound,"-33.87716,150.84332",07:45,17.24137931034483,48,58,1311.0
Elizabeth Drive Westbound,"-33.87476,150.83832",07:45,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.87603,150.82784",07:45,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88073,150.81972",07:45,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.88042,150.8097",07:45,0.0,69,69,1311.0
Elizabeth Drive Westbound,"-33.88076,150.80432",07:45,0.0,67,67,1311.0
Elizabeth Drive Westbound,"-33.88049,150.79247",07:45,0.0,66,66,1311.0
Elizabeth Drive Westbound,"-33.87824,150.78295",07:45,0.0,66,66,1311.0
Elizabeth Drive Westbound,"-33.87576,150.76878",07:45,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87385,150.75439",07:45,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87348,150.74997",07:45,0.0,73,73,1311.0
Elizabeth Drive Westbound,"-33.87092,150.73242",07:45,0.0,81,81,1311.0
Elizabeth Drive Westbound,"-33.86831,150.71664",07:45,0.0,71,71,1311.0
Elizabeth Drive Westbound,"-33.86463,150.70826",07:45,0.0,57,57,1311.0
Elizabeth Drive Westbound,"-33.87716,150.84332",08:00,27.58620689655172,42,58,1317.0
Elizabeth Drive Westbound,"-33.87476,150.83832",08:00,0.0,71,71,1317.0
Elizabeth Drive Westbound,"-33.87603,150.82784",08:00,0.0,68,68,1317.0
Elizabeth Drive Westbound,"-33.88073,150.81972",08:00,0.0,71,71,1317.0
Elizabeth Drive Westbound,"-33.88042,150.8097",08:00,0.0,68,68,1317.0
Elizabeth Drive Westbound,"-33.88076,150.80432",08:00,0.0,67,67,1317.0
Elizabeth Drive Westbound,"-33.88049,150.79247",08:00,63.63636363636363,24,66,1317.0
Elizabeth Drive Westbound,"-33.87824,150.78295",08:00,63.63636363636363,24,66,1317.0
Elizabeth Drive Westbound,"-33.87576,150.76878",08:00,0.0,73,73,1317.0
Elizabeth Drive Westbound,"-33.87385,150.75439",08:00,0.0,73,73,1317.0
Elizabeth Drive Westbound,"-33.87348,150.74997",08:00,0.0,73,73,1317.0
Elizabeth Drive Westbound,"-33.87092,150.73242",08:00,0.0,81,81,1317.0
Elizabeth Drive Westbound,"-33.86831,150.71664",08:00,21.42857142857143,55,70,1317.0
Elizabeth Drive Westbound,"-33.86463,150.70826",08:00,0.0,57,57,1317.0
Elizabeth Drive Westbound,"-33.87716,150.84332",08:15,15.789473684210533,48,57,1317.0
Elizabeth Drive Westbound,"-33.87476,150.83832",08:15,0.0,71,71,1317.0
Elizabeth Drive Westbound,"-33.87603,150.82784",08:15,0.0,68,68,1317.0
Elizabeth Drive Westbound,"-33.88073,150.81972",08:15,0.0,71,71,1317.0
Elizabeth Drive Westbound,"-33.88042,150.8097",08:15,0.0,68,68,1317.0
Elizabeth Drive Westbound,"-33.88076,150.80432",08:15,0.0,67,67,1317.0
Elizabeth Drive Westbound,"-33.88049,150.79247",08:15,0.0,66,66,1317.0
Elizabeth Drive Westbound,"-33.87824,150.78295",08:15,0.0,66,66,1317.0
Elizabeth Drive Westbound,"-33.87576,150.76878",08:15,0.0,73,73,1317.0
Elizabeth Drive Westbound,"-33.87385,150.75439",08:15,0.0,73,73,1317.0
