route,inter_point
route 6,Cahill Expressway Onramp
route 6,Cahill Expressway
route 6,To the Horses
route 6,Cahill Expressway
route 6,Sydney Harbour Tunnel Northbound
route 6,Sydney Harbour Tunnel Northbound
route 6,Sydney Harbour Tunnel Northbound
route 6,Sydney Harbour Tunnel Southbound
route 6,Cahill Walk
route 6,Warringah Freeway
route 6,Warringah Freeway
route 6,Warringah Freeway
route 6,Warringah Freeway
route 6,Bon Andrews Oval
route 6,Warringah Freeway
route 6,1057
route 6,Warringah Freeway
route 6,Warringah Freeway
route 6,Warringah Freeway
route 6,Naremburn
route 6,Gore Hill Freeway
route 6,Gore Hill Freeway
route 6,Gore Hill Freeway
route 6,Lane Cove Tunnel
route 6,Lane Cove Tunnel
route 6,Lane Cove Tunnel Onramp
route 6,Kimberley Avenue
route 6,Lane Cove Tunnel
route 6,14
route 6,8
route 6,Batten Reserve
route 6,Epping Road
route 6,706A
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,Christie Road
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,2
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,M2 Hills Motorway
route 6,20
route 6,M2 Hills Motorway
route 6,Pennant Hills Road Exit
route 6,Pennant Hills Road
route 6,633
route 6,Roselea Community Centre
route 6,Pennant Hills Road
route 7,Cross City Tunnel
route 7,City resort hostel
route 7,Palmer Street
route 7,Sir John Young Crescent
route 7,Sir John Young Crescent
route 7,Cahill Expressway Onramp
route 7,Cahill Expressway Onramp
route 7,William Shakespeare
route 7,Royal Botanic Garden
route 7,Sydney
route 7,Sydney Harbour Tunnel Northbound
route 7,Sydney Harbour Tunnel Northbound
route 7,Sydney Harbour Tunnel Southbound
route 7,Sydney Harbour Tunnel Southbound
route 7,Fitzroy Street
route 7,Warringah Freeway
route 7,Warringah Freeway
route 7,Warringah Freeway
route 7,Warringah Freeway
