the_geom,station_id,full_name,name,road_name,common_road_name,secondary_name,suburb,post_code,lga,rms_region,distance_to_intersection,intersection,road_number,link_number,mab_identifier,device_type,permanent_station,vehicle_classifier,road_on_type,road_classification_type,road_classification_admin,wgs84_latitude,wgs84_longitude
0101000020E6100000AB984A3FE1F4624082AB3C81B07B40C0,05856,"Macquarie Road, North of Hillsborough Road",Macquarie Road,Macquarie Road,Macquarie Road,North of Hillsborough Road,Lakelands,2282,Lake Macquarie,Hunter,40,Hillsborough Road,0000527,0220,B89,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.966324,151.652496
0101000020E6100000C0401020C3F66240FDF675E09C7740C0,05864,"Freyberg Street, South of Knight Street",Freyberg Street,Freyberg Street,Carnley Avenue,South of Knight Street,New Lambton,2305,Newcastle,Hunter,80,Knight Street,0000603,0020,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Avenue,Regional,-32.934475,151.711319
0101000020E6100000280B5F5FEBF46240986BD102B47B40C0,05865,"Hillsborough Road, East of Macquarie Road",Hillsborough Road,Hillsborough Road,Hillsborough Road,East of Macquarie Road,Warners Bay,2282,Lake Macquarie,Hunter,120,Macquarie Road,0000674,0150,B57,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.966431,151.653732
0101000020E6100000838769DF5CF8624071CADC7C237440C0,05873,"Elizabeth Street, East of Industrial Drive",Elizabeth Street,Elizabeth Street,Elizabeth Street,East of Industrial Drive,Carrington,2294,Newcastle,Hunter,130,Industrial Drive,0007772,0010,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Street,Regional,-32.907333,151.761337
0101000020E6100000A77A32FFE8F6624043FE99417C7440C0,05903,"Griffiths Road, South of Acacia Avenue",Griffiths Road,Griffiths Road,Griffiths Road,South of Acacia Avenue,Lambton,2299,Newcastle,Hunter,70,Acacia Avenue,0000082,0090,A15,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-32.910042,151.715942
0101000020E61000000B5D894075EC6240B5C5353E93B740C0,05905,"The Entrance Road, East of Penrose Crescent",The Entrance Road,The Entrance Road,The Entrance Road,East of Penrose Crescent,Erina,2250,Gosford,Hunter,40,Penrose Crescent,0000030,2080,A49,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-33.434181,151.389313
0101000020E6100000E23C9CC0F4EE6240C72B103D296740C0,05906,"Mitchell Avenue, East of Tenth Street",Mitchell Avenue,Mitchell Avenue,Mitchell Avenue,East of Tenth Street,Kurri Kurri,2327,Cessnock,Hunter,120,Tenth Street,0007766,0010,NULL,Trafficorder Tube Axlepair Counter,0,0,OnGround,Avenue,Regional,-32.805946,151.467377
0101000020E610000060AFB0E07EEC62404580D3BB78B740C0,05907,"The Entrance Road, East of Barralong Road",The Entrance Road,The Entrance Road,The Entrance Road,East of Barralong Road,Erina,2250,Gosford,Hunter,70,Barralong Road,0000030,2090,A49,Trafficorder Tube Axlepair Counter,0,0,OnGround,,State,-33.433372,151.390488
0101000020E610000019C6DD20DAF4624027F6D03E567640C0,05910,"Lake Road, South of Reservoir Road",Lake Road,Lake Road,Lake Road,South of Reservoir Road,Glendale,2285,Lake Macquarie,Hunter,110,Reservoir Road,0000217,0368,B53,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,Local,-32.924507,151.651627
0101000020E6100000971AA19F29EF624068EBE0606FB240C0,05913,"The Entrance Road, South of Coleridge Road",The Entrance Road,The Entrance Road,The Entrance Road,South of Coleridge Road,Bateau Bay,2261,Wyong,Hunter,90,Coleridge Road,0000030,2120,A49,Trafficorder Tube Axlepair Counter,0,0,OnGround,Road,State,-33.394024,151.473831
